# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.111596
# Diagonal elements of inverse mass matrix:
# 1.25188, 0.011343, 0.00758529
-89.1772,0.829168,0.111596,5,49,0,90.7904,-16.6421,1.30068,1.28592
-89.4361,0.989725,0.111596,4,31,0,91.7167,-15.2661,1.26603,1.18329
-86.8264,0.891616,0.111596,5,35,0,90.9921,-14.6728,1.12777,1.17616
-87.3416,0.947281,0.111596,5,39,0,89.4963,-15.9761,1.1978,1.29996
-87.9431,0.996556,0.111596,4,15,0,89.8988,-15.7655,1.27489,1.21847
-87.8409,0.96243,0.111596,4,15,0,88.4095,-15.5838,1.26053,1.21192
-88.1029,0.875379,0.111596,5,35,0,89.9857,-14.8293,1.19858,1.17435
-90.569,0.833268,0.111596,5,31,0,93.3646,-12.9465,1.03877,0.969413
-89.6567,0.999395,0.111596,4,15,0,90.9123,-13.1857,1.04474,1.00222
-89.647,0.999597,0.111596,3,7,0,90.0618,-13.095,1.03316,0.999547
-89.0097,0.998952,0.111596,2,7,0,89.9833,-12.9464,1.02719,1.03216
-88.3992,0.998645,0.111596,3,11,0,89.8783,-13.3091,1.00291,1.06585
-88.6045,0.82868,0.111596,2,7,0,89.9353,-13.0829,1.01079,1.07611
-90.232,0.88554,0.111596,3,11,0,90.6229,-13.282,0.9728,1.06396
-87.8316,0.764914,0.111596,5,43,0,94.9934,-15.8847,1.2241,1.3239
-88.293,0.834842,0.111596,2,3,0,89.8822,-15.8705,1.22853,1.32562
-88.2102,0.999692,0.111596,3,11,0,89.7512,-16.4157,1.27818,1.28406
-87.3882,1,0.111596,2,3,0,88.2387,-16.3155,1.2801,1.29667
-87.1234,0.937175,0.111596,4,19,0,88.8592,-16.1264,1.21336,1.32103
-87.1008,0.998171,0.111596,3,15,0,87.2302,-15.9433,1.22736,1.31037
-87.7417,0.91645,0.111596,5,31,0,88.9762,-16.8017,1.28124,1.38902
-87.1084,0.97479,0.111596,5,51,0,88.378,-14.4053,1.0761,1.21138
-87.1166,0.848639,0.111596,4,31,0,89.7249,-15.7235,1.23942,1.24476
-86.8521,0.987224,0.111596,3,7,0,87.3587,-15.6495,1.21848,1.25722
-87.8203,0.980831,0.111596,5,35,0,88.0762,-15.3067,1.23931,1.19149
-87.542,0.640132,0.111596,2,3,0,91.6338,-15.2068,1.21959,1.17935
-86.7275,0.993973,0.111596,4,15,0,88.6085,-14.5617,1.11963,1.17906
-87.1754,0.90482,0.111596,4,19,0,87.9329,-15.1631,1.17921,1.19426
-87.0256,0.949578,0.111596,4,31,0,88.1118,-14.6977,1.15708,1.16247
-87.5129,0.986387,0.111596,3,15,0,87.762,-14.6957,1.17324,1.14009
-86.9491,0.972762,0.111596,4,19,0,88.8185,-14.1681,1.06198,1.17264
-87.3313,0.972076,0.111596,5,31,0,89.0161,-15.2726,1.10662,1.2914
-86.7125,0.996248,0.111596,3,15,0,87.7939,-15.3606,1.16257,1.25223
-87.4504,0.970978,0.111596,4,15,0,88.1886,-14.9336,1.18886,1.15902
-93.347,0.224155,0.111596,2,3,0,96.2001,-14.4999,1.21086,1.16438
-88.4903,1,0.111596,3,7,0,92.7521,-14.709,1.19365,1.16603
